# question	answer	fact
# Dictionary foundation lessons for fsot_mind brain-learn
what does purpose mean	an	purpose means an anticipated outcome that is intended or that guides your planned actions. Example: his intent was to provide a new translation
what does emotion mean	any	emotion means any strong feeling.
what does society mean	an	society means an extended social group having a distinctive cultural and economic organization.
what does company mean	an	company means an institution created to conduct business. Example: he only invests in large well-established companies
what does country mean	a	country means a politically organized body of people under a single government. Example: the state has elected a new president
what does comrade mean	a	comrade means a friend who is frequently in the company of another. Example: drinking companions
what does husband mean	a	husband means a married man; a woman's partner in marriage.
what does officer mean	any	officer means any person in the armed services who holds a position of authority or command. Example: an officer is responsible for the lives of his men
what does patient mean	a	patient means a person who requires medical care. Example: the number of emergency patients has grown rapidly
what does soldier mean	an	soldier means an enlisted man or woman who serves in an army. Example: the soldiers stood at attention
what does student mean	a	student means a learner who is enrolled in an educational institution.
what does nothing mean	a	nothing means a quantity of no importance. Example: it looked like nothing I had ever seen before
what does percent mean	a	percent means a proportion in relation to a whole (which is usually the amount per hundred).
what does problem mean	a	problem means a state of difficulty that needs to be resolved. Example: she and her husband are having problems
what does morning mean	the	morning means the time period between dawn and noon. Example: I spent the morning running errands
what does century mean	a	century means a period of 100 years.
what does improve mean	to	improve means to make better. Example: The editor improved the manuscript with his changes
what does compare mean	examine	compare means examine and note the similarities or differences of. Example: John compared his haircut to his friend's
what does believe mean	accept	believe means accept as true; take to be true. Example: I believed his report
what does suggest mean	make	suggest means make a proposal, declare a plan for something. Example: the senator proposed to abolish the sales tax
what does explain mean	make	explain means make plain and comprehensible. Example: He explained the laws of physics to his students
what does express mean	give	express means give expression to. Example: She showed her disappointment
what does mention mean	make	mention means make reference to. Example: His name was mentioned in connection with the invention
what does discuss mean	to	discuss means to consider or examine in speech or writing. Example: The author talks about the different aspects of this question
what does feed mean	provide	feed means provide as food. Example: Feed the guests the nuts
what does imagine mean	form	imagine means form a mental image of something that is not present or that is not the case. Example: Can you conceive of him as the president?
what does produce mean	bring	produce means bring forth or yield. Example: The tree would not produce fruit
what does receive mean	get	receive means get something; come into possession of. Example: receive payment
what does provide mean	give	provide means give something useful or necessary to. Example: We provided the room with an electrical heater
what does prevent mean	keep	prevent means keep from happening or arising; make impossible. Example: My sense of tact forbids an honest answer
what does force mean	to	force means to cause to do through pressure or necessity, by physical, moral or intellectual means :. Example: She forced him to take a job in the city
what does achieve mean	to	achieve means to gain with effort. Example: she achieved her goal despite setbacks
what does attempt mean	make	attempt means make an effort or attempt. Example: He tried to shake off his fears
what does require mean	require	require means require as useful, just, or proper. Example: It takes nerve to do what she did
what does contain mean	include	contain means include or contain; have as a component. Example: A totally new idea is comprised in this paper
what does include mean	have	include means have as a part, be made up out of. Example: The list includes the names of many famous writers
what does concern mean	be	concern means be relevant to. Example: There were lots of questions referring to her talk
what does involve mean	connect	involve means connect closely and often incriminatingly. Example: This new ruling affects your business
what does complete mean	having	complete means having every necessary or normal part or component or step. Example: a complete meal
what does dominant mean	exercising	dominant means exercising influence or control. Example: television plays a dominant role in molding public opinion
