# domain	grade	question	answer	source_key
vision	grade3	What is the answer to: digit 4 name?	four	digit 4 name
vision	grade4	What is the answer to: digit 4 name?	four	digit 4 name
vision	grade5	What is the answer to: digit 4 name?	four	digit 4 name
vision	grade6	What is the answer to: digit 4 name?	four	digit 4 name
vision	grade7	What is the answer to: digit 4 name?	four	digit 4 name
vision	grade8	What is the answer to: digit 4 name?	four	digit 4 name
vision	kindergarten	What is the answer to: digit 5 name?	five	digit 5 name
vision	kindergarten	What is the answer to: name of digit 5?	five	name of digit 5
vision	grade2	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade3	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade4	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade5	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade6	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade7	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade8	What is the answer to: digit 5 name?	five	digit 5 name
vision	grade1	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade1	What is the answer to: name of digit 6?	six	name of digit 6
vision	grade2	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade3	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade4	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade5	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade6	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade7	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade8	What is the answer to: digit 6 name?	six	digit 6 name
vision	grade1	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade1	What is the answer to: name of digit 7?	seven	name of digit 7
vision	grade2	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade3	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade4	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade5	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade6	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade7	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade8	What is the answer to: digit 7 name?	seven	digit 7 name
vision	grade1	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade1	What is the answer to: name of digit 8?	eight	name of digit 8
vision	grade2	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade3	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade4	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade5	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade6	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade7	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade8	What is the answer to: digit 8 name?	eight	digit 8 name
vision	grade1	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade1	What is the answer to: name of digit 9?	nine	name of digit 9
vision	grade2	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade3	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade4	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade5	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade6	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade7	What is the answer to: digit 9 name?	nine	digit 9 name
vision	grade8	What is the answer to: digit 9 name?	nine	digit 9 name
